ffb,fusion,layout,width,fx,n_read,n_frames,mask_source,z_front,z_window,V_grid,z_ref,V_frustum,mask_px,mask_holes,V_grid_pitch,grid_pitch_mm,ring_z_ref,V_grid_ring,V_grid_ring_pitch,V_grid_fill,V_plane,H,area,tarp_depth,tilt_deg,plane_rmse_mm,V_plane_ph,H_ph,area_ph,mask_px_ph,seconds
FFB10,notebook,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.008313623052597046,1.406000018119812,0.009242022706836448,28435,0.0,0.009067374188296938,2.319474149265775,1.5480000972747803,0.02432453573846817,0.02728539036195277,0.009288843730926514,0.030252886150257133,0.270273856092917,0.16333322613690693,1.5494276073620954,2.398352521509854,2.732378123572858,0.03273035340607427,0.2720815353930115,0.1941657540560673,33723,2.9
FFB10,nan_blur,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.006568908977985382,1.3950001001358032,0.007186269835984972,21984,0.0,0.00704515282453409,2.319474149265775,1.5475001335144043,0.01984794300699234,0.021781116373418407,0.007277771660327911,0.024561910390673177,0.27111430327612007,0.12633942259889272,1.5489686652961634,2.4593715461682324,2.9457086160068737,0.032735790616633155,0.27218145863018106,0.19425384786624758,33734,1.5
FFB11,notebook,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.00667636194562912,1.4030001163482666,0.007472636765769439,27951,0.0,0.007354396847597649,2.3206760465597216,1.5500000715255737,0.022967247179508207,0.02593077646352726,0.00751671533203125,0.028634279115436586,0.24645847819891742,0.160508159121448,1.547949263668295,2.4320539618221675,3.989399214601618,0.031238924114143276,0.2474212000168587,0.19384549765387138,33693,1.5
FFB11,nan_blur,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.006687637949943542,1.4030001163482666,0.0074703377105242216,27951,0.0,0.007356483746131293,2.3206760465597216,1.5500000715255737,0.023000634179592132,0.02593534475150062,0.007506813316345214,0.02864017045098845,0.24652125885324705,0.16052163851829304,1.5479826293104095,2.4815501771218975,3.8978097480572913,0.0314251695022091,0.2483242592969251,0.19469549958429752,33779,1.6
FFB12,notebook,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010033044231891632,1.3750001192092896,0.011024312756841221,30162,0.0,0.010547231984640162,2.3172968746459364,1.5380001068115234,0.028764839118003843,0.03076121967469286,0.011064937383651732,0.03643753813419486,0.302491053543426,0.17172062982811756,1.5466713442867905,2.5528669945664193,4.444724684384742,0.04398376508648807,0.30531107306704913,0.23704317641088002,41470,1.5
FFB12,nan_blur,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010459210580825806,1.3790000677108765,0.011438688321337293,30099,0.0,0.01097137544984928,2.3172968746459364,1.5380001068115234,0.02888287316942215,0.030818500067677064,0.01148513666009903,0.03623919038694281,0.30186729526367956,0.17135126853063914,1.5465542502376326,2.60413126156316,4.4358570806165565,0.04371233693740816,0.3039763504428105,0.23668851100548693,41330,1.4
FFB17,notebook,combined,1280,647.3,95,95,depth,1.1535000801086426,0.27,0.00512641494846344,1.3480000495910645,0.005577872872259848,21598,0.0,0.005329977353374384,2.199062874002507,1.5290000438690186,0.020044834431648253,0.021134204854838714,0.005637242586612701,0.02558592786624641,0.30983939148251194,0.12155662458918165,1.5486442766910609,5.184011628129446,4.349592630570745,0.030224533398296158,0.3130340742390523,0.1586690877333897,27989,1.6
FFB17,nan_blur,combined,1280,647.3,95,95,depth,1.1380000114440918,0.27,0.0048566689434051515,1.3440001010894775,0.005267227776002324,21052,0.0,0.005029133007553699,2.1751179329231207,1.5320000648498535,0.0199527151389122,0.020959674888909305,0.005307509677410126,0.025145401343551182,0.3134703516612929,0.1184627453271527,1.5482798973651746,5.102627065954968,4.3341233896619356,0.17341464758476055,0.7270354142873301,0.604836009525627,101646,1.4
FFB18,notebook,combined,1280,647.5,77,77,depth,1.2510000467300415,0.27,0.005864857992649078,1.4350000619888306,0.006731529334695842,16371,0.0,0.006452016603705633,2.349046114014314,1.5390000343322754,0.012590918132781981,0.014089535810330537,0.0068118239712715144,0.015651346247282007,0.24060177621293694,0.09256528615481466,1.5493635991339356,4.961373487270103,3.944517681915849,0.01879164846085499,0.2477456141401233,0.1218432914807311,21344,1.2
FFB18,nan_blur,combined,1280,647.5,77,77,depth,1.249000072479248,0.27,0.005834297987937927,1.4350000619888306,0.006701822765133632,16200,0.0,0.006447550374739989,2.3459573358436265,1.5390000343322754,0.012488477150917053,0.014044597379452094,0.00678687097120285,0.015532594078853696,0.24073074140378292,0.09160373321750642,1.549379457782724,4.94012698797522,3.9344878659975207,0.018952713857222636,0.24909665009984877,0.12244372439338004,21414,1.3
