model,step,scheme,mae,per_bunch_r2,missing,vs_first_diff,vs_first_lo,vs_first_hi,vs_first_p_not_better
per_session_k,S0_notebook,LOO,1.6503909607621565,0.8138244174579171,0,,,,
per_session_k,S0_notebook,4/7,1.9732227370467819,0.7698283870600832,100,,,,
per_session_k,S0_notebook,7/4,1.6536119507531553,0.7856647089540721,0,,,,
per_session_k,S2_nan_blur,LOO,3.20859751982024,0.6965820357707424,0,1.5582065590580834,0.674777981914994,2.430261665388554,0.99965
per_session_k,S2_nan_blur,4/7,4.036633012270567,0.4866653684807472,100,2.063410275223785,0.8406821429162192,3.5410570714977756,1.0
per_session_k,S2_nan_blur,7/4,3.4057466012160043,0.59824074896466,0,1.752134650462849,0.7847344755609524,2.8026789643244987,0.99985
per_session_k,S2b_pitch_grid,LOO,3.250376909111536,0.6773214771314516,0,1.5999859483493792,0.7193566830740973,2.4702095404204405,0.9998
per_session_k,S2b_pitch_grid,4/7,4.1367080853437646,0.45731557585799537,100,2.1634853482969834,0.9490354119459593,3.656370333807739,1.0
per_session_k,S2b_pitch_grid,7/4,3.474897502514657,0.5681797214203784,0,1.8212855517615012,0.8562905546403791,2.8848246695236335,1.0
per_session_k,S2c_ring_zref,LOO,1.8603361275475616,0.6079898812344458,0,0.20994516678540504,-0.9669872099821987,1.429108284557129,0.62525
per_session_k,S2c_ring_zref,4/7,2.3522352126996084,0.58012558903964,100,0.3790124756528267,-0.5441483476700834,1.3509676848055525,0.77475
per_session_k,S2c_ring_zref,7/4,2.0372522593043034,0.6033056993196348,0,0.3836403085511477,-0.7424407359623473,1.569079670742309,0.7317
per_session_k,S2d_ring_zref_pitch,LOO,1.978866757066519,0.568361683010733,0,0.3284757963043622,-0.8896825272018256,1.6336589559697208,0.6832
per_session_k,S2d_ring_zref_pitch,4/7,2.411415736701236,0.5403422263199992,100,0.43819299965445435,-0.5737607213899012,1.5262420090681221,0.7826
per_session_k,S2d_ring_zref_pitch,7/4,2.10191205809986,0.5638683467675216,0,0.448300107346705,-0.7765396691736915,1.759516030722719,0.74285
global_k,S0_notebook,LOO,1.6033039991769165,0.8861081697190222,0,,,,
global_k,S0_notebook,4/7,1.6593006325978827,0.8859144535459387,0,,,,
global_k,S0_notebook,7/4,1.5925386617745347,0.8861281799137216,0,,,,
global_k,S2_nan_blur,LOO,2.733416028036894,0.8143566128592701,0,1.130112028859978,0.2449642048388768,2.061796885181372,0.9953
global_k,S2_nan_blur,4/7,2.8339129811602843,0.8118232132465856,0,1.1746123485624018,0.3742903007442784,2.060645204579204,0.99935
global_k,S2_nan_blur,7/4,2.7254355039042024,0.8131328891439961,0,1.1328968421296675,0.23273860686276754,2.1073360376988677,0.99545
global_k,S2b_pitch_grid,LOO,6.472556913956668,0.0007020361351585049,0,4.869252914779752,2.820947911989234,7.007599368306941,1.0
global_k,S2b_pitch_grid,4/7,6.609014986624969,0.0016109394325137338,0,4.949714354027086,2.8987585325544183,7.25355044218088,1.0
global_k,S2b_pitch_grid,7/4,6.466935872222867,0.001021178922122656,0,4.874397210448333,2.8408882793837074,7.031512073586042,1.0
global_k,S2c_ring_zref,LOO,5.2970903070377275,0.6642109257289105,0,3.6937863078608117,1.6752895645955297,5.72098126139008,1.0
global_k,S2c_ring_zref,4/7,6.08863918255592,0.6643019887156625,0,4.429338549958038,2.935621910294687,5.954383817804604,1.0
global_k,S2c_ring_zref,7/4,5.400608720209243,0.6649333451773706,0,3.80807005843471,1.9204673538415153,5.708997341785165,1.0
global_k,S2d_ring_zref_pitch,LOO,2.392555177904939,0.6873252450153001,0,0.7892511787280226,-0.4971165503033158,2.38654883280047,0.8591
global_k,S2d_ring_zref_pitch,4/7,2.6414487093149726,0.6908367644835927,0,0.9821480767170904,-0.24526283711970256,2.4893524169631327,0.9262
global_k,S2d_ring_zref_pitch,7/4,2.457940130095298,0.6894340036193272,0,0.8654014683207633,-0.407570342675154,2.429396418847812,0.8883
