ffb,fusion,layout,width,fx,n_read,n_frames,mask_source,z_front,z_window,V_grid,z_ref,V_frustum,V_grid_pitch,grid_pitch_mm,V_grid_ring,V_grid_ring_pitch,ring_z_ref,V_grid_fill,mask_px,mask_holes,V_plane,H,area,tarp_depth,tilt_deg,plane_rmse_mm,V_plane_ph,H_ph,area_ph,mask_px_ph,V_grid_ph,seconds,V_plane_ph_msac
FFB10,notebook,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.008313623052597046,1.406000018119812,0.009242022706836448,0.009067374188296938,2.319474149265775,0.02432453573846817,0.02728539036195277,1.5480000972747803,0.009288843730926514,28435,0.0,0.030252886150257133,0.270273856092917,0.16333322613690693,1.5494276073620954,2.398352521509854,2.732378123572858,0.03273035340607427,0.2720815353930115,0.1941657540560673,33723,0.0259608881149292,2.1,0.032611990942347686
FFB11,notebook,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.00667636194562912,1.4030001163482666,0.007472636765769439,0.007354396847597649,2.3206760465597216,0.022967247179508207,0.02593077646352726,1.5500000715255737,0.00751671533203125,27951,0.0,0.028634279115436586,0.24645847819891742,0.160508159121448,1.547949263668295,2.4320539618221675,3.989399214601618,0.031238924114143276,0.2474212000168587,0.19384549765387138,33693,0.024657501078128814,1.4,0.03128183892375098
FFB12,notebook,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010033044231891632,1.3750001192092896,0.011024312756841221,0.010547231984640162,2.3172968746459364,0.028764839118003843,0.03076121967469286,1.5380001068115234,0.011064937383651732,30162,0.0,0.03643753813419486,0.302491053543426,0.17172062982811756,1.5466713442867905,2.5528669945664193,4.444724684384742,0.04398376508648807,0.30531107306704913,0.23704317641088002,41470,0.03374661330747604,1.4,0.04393043438396595
FFB17,notebook,combined,1280,647.3,95,95,depth,1.1535000801086426,0.27,0.00512641494846344,1.3480000495910645,0.005577872872259848,0.005329977353374384,2.199062874002507,0.020044834431648253,0.021134204854838714,1.5290000438690186,0.005637242586612701,21598,0.0,0.02558592786624641,0.30983939148251194,0.12155662458918165,1.5486442766910609,5.184011628129446,4.349592630570745,0.030224533398296158,0.3130340742390523,0.1586690877333897,27989,0.02260911651802063,1.4,0.030072176375932375
FFB18,notebook,combined,1280,647.5,77,77,depth,1.2510000467300415,0.27,0.005864857992649078,1.4350000619888306,0.006731529334695842,0.006452016603705633,2.349046114014314,0.012590918132781981,0.014089535810330537,1.5390000343322754,0.0068118239712715144,16371,0.0,0.015651346247282007,0.24060177621293694,0.09256528615481466,1.5493635991339356,4.961373487270103,3.944517681915849,0.01879164846085499,0.2477456141401233,0.1218432914807311,21344,0.014293855299949646,1.4,0.01873793888553826
FFB19,notebook,combined,1280,647.7,102,102,depth,1.2970000505447388,0.27,0.008276699234962463,1.3860000371932983,0.00907005330847282,0.008892919007898367,2.4194323375545213,0.02464383476257324,0.027152870411293946,1.5390000343322754,0.009115716734886169,27603,0.0,0.030418186860292098,0.28296477563960576,0.15575857515498198,1.549895800857953,5.672040110459874,4.322761197584172,0.03480204328441333,0.29147673150925746,0.18867861295170557,32954,0.0268608720703125,1.4,0.034332505875176576
FFB31,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.2361750602722168,0.005231971440315246,1.5520000457763672,0.014621949982523592,0.012708044696034938,3.5993056050946866,0.005387503049373627,0.013109697935303677,1.5570001602172852,0.014452444188594817,7842,0.0,0.01447269419109479,0.24624082797095306,0.08035555381778785,1.5569437196648261,4.751039175814867,3.7452792274039357,0.02652221741360025,0.250140253457797,0.16220897937654535,12638,0.009362218312263488,1.1,0.02647378950039024
FFB32,notebook,split,848,432.1,32,32,depth,1.3530000448226929,0.15340006351470947,0.0031429325704574584,1.4850000143051147,0.008570372926874096,0.008049322874789877,3.486420578629607,0.005161066239356994,0.013335908601122557,1.5500000715255737,0.008537671628952026,7820,0.0,0.014872058563858226,0.21195365352111334,0.1007309430471552,1.5587901293684119,3.4074903497414786,3.782572717849729,0.016724446330400548,0.20650068178249548,0.12308441188001816,9623,0.00600699824142456,1.1,0.01673007751360468
FFB33,notebook,split,848,432.1,32,32,depth,1.3260000944137573,0.2692500352859497,0.005889370485305786,1.5540000200271606,0.016515715660937083,0.014370501058415235,3.692055549826674,0.005426203113555908,0.013196427495534869,1.5390000343322754,0.015335067678451537,8901,0.0,0.015456345359737812,0.23626696034648376,0.09093037814139736,1.550153527399545,3.2602661401074022,3.6970361738902997,0.02297962455864429,0.23659207188586273,0.1476220563365959,11640,0.008194254518508911,1.1,0.02305847968425936
FFB34,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.21672511100769043,0.004809051558494567,1.5230001211166382,0.013162051717862902,0.011734287480938651,3.554290537056761,0.0056063541536331175,0.013746149379885197,1.5500000715255737,0.013445850678920745,7448,0.0,0.0157770512614125,0.25223500496514867,0.09083941360763788,1.5640375013941403,4.878815504994144,3.9605817629646043,0.024606734997098947,0.2527363841821435,0.14875169207250277,11584,0.008824153072357177,1.1,0.024683074222027614
FFB35,notebook,split,848,432.1,32,32,depth,1.3330000638961792,0.26273131370544434,0.005680918890953064,1.5670000314712524,0.016256097205603448,0.01418717055521385,3.6931693525802567,0.0053260335397720335,0.013259282304605808,1.5560001134872437,0.015119736634254454,8876,0.0,0.014614929660326076,0.23646631558167575,0.08925783988894548,1.565147730671814,5.404616583868002,3.949640226737939,0.02343280281477796,0.24045216794152663,0.14991777930596784,11637,0.008230802312374115,1.1,0.023384361877767355
