step,model,primary,n,mae,mape,pearson_r2,r2,mae_lo,mae_hi,vs_S0_diff,vs_S0_lo,vs_S0_hi,vs_S0_p_not_better
S0_notebook,per_session_k,True,10,1.6503909607621565,12.34901460630757,0.8138244174579171,0.7277252069936513,1.2366516416653623,2.0974965193376973,,,,
S0_notebook,global_k,True,10,1.6033039991769165,11.833912480279134,0.8861081697190222,0.7434295355398224,1.1571813689309782,2.0115706574941337,,,,
S0_notebook,aV+b,False,10,1.213980133887081,8.407558127538497,0.8536654090364559,0.8528762658359446,0.9135527751835649,1.5470306233606204,,,,
S0_notebook,aV+bH,False,10,1.040509127539575,7.275111424455094,0.889600216284039,0.8895513223668582,0.7504111645638909,1.3408809302586857,,,,
S1_steady_frames,per_session_k,True,10,1.5821786747473787,11.695991574037222,0.771443112556319,0.7394656357966934,1.1352586539536693,2.0747437909775037,-0.06821228601477794,-0.481438949520023,0.1967967334502679,0.37935
S1_steady_frames,global_k,True,10,1.4300262173451384,10.805606298011435,0.8415458614907108,0.7720292949031256,0.9281455493833336,1.9346390097073358,-0.17327778183177794,-0.47583084501887474,0.06792916643314734,0.0991
S1_steady_frames,aV+b,False,10,1.5509510810141083,10.836155475774193,0.7750854571237682,0.7686502358993432,1.1954269145308176,1.901630629889121,0.3369709471270272,0.07007808581303865,0.6624705617116764,0.9984
S1_steady_frames,aV+bH,False,10,1.44145669695338,10.067763472127774,0.7954210697327826,0.7925052842191844,1.0499159428026859,1.802319387498619,0.4009475694138048,0.13173556111779255,0.7132200931915529,1.0
S2_nan_blur,per_session_k,True,10,2.293475269161403,17.46367568234453,0.6505932885796022,0.3390308765857142,1.3359178318191707,3.320378285460628,0.6430843083992466,-0.18812554605594003,1.4536743791068474,0.9375
S2_nan_blur,global_k,True,10,2.2818690727466158,18.42799314782239,0.8049830541230399,0.22287956336402637,1.1171703070704713,3.575773629352244,0.6785650735697001,-0.471507830427117,1.9605954687989147,0.8682
S2_nan_blur,aV+b,False,10,1.6204625459622868,10.690333627222515,0.7057150326821727,0.6985026169459092,1.0339263603364233,2.22901714011336,0.4064824120752057,-0.020144060802897455,0.9242617696337017,0.9683
S2_nan_blur,aV+bH,False,10,1.5565335455061564,10.637121256206324,0.7322484906403256,0.7234616031054657,1.0145635763098906,2.1494669843348673,0.5160244179665814,0.009519938095242658,1.096180357941886,0.97775
S3_frustum,per_session_k,True,10,2.439533709283519,18.439663750125323,0.6125110986232222,0.2124159892352352,1.3373166564147734,3.6111801054588644,0.7891427485213631,-0.18452978847355148,1.7355048934246085,0.9455
S3_frustum,global_k,True,10,5.8406458822476335,39.630414853252525,0.000941233327740917,-2.473109237779979,4.309819117726603,7.575965937285043,4.237341883070718,2.553202779611088,6.010920703971874,1.0
S3_frustum,aV+b,False,10,3.5530833005539946,24.60181101380287,0.3371731373347889,-0.44318426979360614,2.2941491849981897,4.904255859717709,2.3391031666669138,1.043058145834584,3.701976502889658,1.0
S3_frustum,aV+bH,False,10,2.40646298664427,16.368087523304606,0.3305668740033074,0.301312390603391,1.4648717862529392,3.4024209647317636,1.365953859104695,0.4291682740623705,2.3613144583975036,0.9991
S4_tarp_plane,per_session_k,True,10,1.6908263073282241,12.398756084782319,0.6712641719217509,0.6508727742454339,1.0174493391641846,2.416562852437966,0.04043534656606775,-0.8232464732324529,0.9660403056685294,0.52535
S4_tarp_plane,global_k,True,10,3.2630121223956814,23.826364226461273,0.7252932858034511,-0.09500558387209734,2.385553206570451,4.256462361294067,1.6597081232187652,0.5616760765857678,2.9915813992223015,0.99945
S4_tarp_plane,aV+b,False,10,1.8805124995032945,13.160593060663281,0.5965523664563644,0.5916752483596839,1.1503118030537636,2.5415150848462247,0.6665323656162137,-0.16782927929851407,1.4118455862112045,0.9447
S4_tarp_plane,aV+bH,False,10,1.67956645761381,11.555904480845184,0.6513658019204762,0.6484458943368144,0.9674887852186934,2.3954781568545305,0.6390573300742352,-0.15784308091780533,1.4197529297230802,0.9424
S5_unaligned_depth,per_session_k,True,10,1.7827456068118852,12.873732197223358,0.6661153083100638,0.6221247083380462,1.0998314233591,2.511372223206381,0.1323546460497286,-0.8024188932592867,1.1194042534490802,0.596
S5_unaligned_depth,global_k,True,10,2.691483569504979,19.17989636776019,0.749062910418899,0.16453317280102397,1.73888046928176,3.743093623196297,1.0881795703280628,-0.1352907955353849,2.4877990087885213,0.95625
S5_unaligned_depth,aV+b,False,10,1.7509207910954139,12.429449461612263,0.6383248906214435,0.6344260559735,1.0555544679030615,2.4421959392270147,0.5369406572083326,-0.24199375825419367,1.270675629179645,0.9134
S5_unaligned_depth,aV+bH,False,10,1.6186886410636596,11.285395575734814,0.697278467218197,0.6959338206964121,0.99990429544722,2.210036189044499,0.5781795135240847,-0.13202321223754215,1.2646808717031643,0.9438
