ffb,fusion,layout,width,fx,n_read,n_frames,mask_source,z_front,z_window,V_grid,z_ref,V_frustum,mask_px,mask_holes,V_plane,H,area,tarp_depth,tilt_deg,plane_rmse_mm,V_plane_ph,H_ph,area_ph,mask_px_ph,seconds
FFB10,notebook,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.008313623052597046,1.406000018119812,0.009242022706836448,28435,0.0,0.030252886150257133,0.270273856092917,0.16333322613690693,1.5494276073620954,2.398352521509854,2.732378123572858,0.03273035340607427,0.2720815353930115,0.1941657540560673,33723,1.2
FFB10,steady,combined,1280,646.3,60,35,depth,1.2290000915527344,0.27,0.00829279503774643,1.406000018119812,0.009227090718791256,28430,0.0,0.03026780873737336,0.2700505201697557,0.16334957660575325,1.549685911702538,2.4674768553070026,2.739094221284144,0.03279270124270389,0.271491905587539,0.19466650078056666,33803,1.1
FFB10,steady_nanblur,combined,1280,646.3,60,35,depth,1.2290000915527344,0.27,0.008278157042026519,1.406000018119812,0.009227635369612157,28540,0.0,0.030327775656858128,0.27000792581491295,0.16396691817535025,1.5496542461238598,2.46596131774251,2.7346860284048553,0.03279176474679742,0.27158827431081134,0.1946308946780915,33793,1.5
FFB10,steady_native,combined,848,432.1,60,35,depth,1.2300000190734863,0.27,0.005274876702308654,1.4515000581741333,0.013540237418886616,11630,0.0,0.026952051729285734,0.27000718039722055,0.1493868119313817,1.5499178707123296,2.4523034833235986,2.7715533702706803,0.03244143150618687,0.27133090770184926,0.19248750397240938,14947,1.1
FFB11,notebook,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.00667636194562912,1.4030001163482666,0.007472636765769439,27951,0.0,0.028634279115436586,0.24645847819891742,0.160508159121448,1.547949263668295,2.4320539618221675,3.989399214601618,0.031238924114143276,0.2474212000168587,0.19384549765387138,33693,1.6
FFB11,steady,combined,1280,646.8,59,25,depth,1.2310000658035278,0.27,0.006634251955032348,1.4030001163482666,0.007432169165073358,27952,0.0,0.028665457837671136,0.24698934874009126,0.16060659934833277,1.5483284349168576,2.5223598997195915,3.7238617244125582,0.031457519090472175,0.24844623648216205,0.19495800765070354,33819,1.1
FFB11,steady_nanblur,combined,1280,646.8,59,25,depth,1.2310000658035278,0.27,0.006650295963287353,1.4030001163482666,0.007430494742484583,27948,0.0,0.028681250108893358,0.24712882570837374,0.1606130072739399,1.5484706031613191,2.5209544589758326,3.5462083917966023,0.03144292199812904,0.24858461371729904,0.19493162706040776,33811,1.3
FFB11,steady_native,combined,848,432.1,59,25,depth,1.2310000658035278,0.27,0.004648220738887787,1.446000099182129,0.012028351648018243,11924,0.0,0.0266885315135966,0.2470414992567954,0.15341889649661594,1.5486801386485354,2.5178619550835983,3.7424671340977227,0.03033768127085597,0.24495746958117975,0.18959264809725093,14756,1.2
FFB12,notebook,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010033044231891632,1.3750001192092896,0.011024312756841221,30162,0.0,0.03643753813419486,0.302491053543426,0.17172062982811756,1.5466713442867905,2.5528669945664193,4.444724684384742,0.04398376508648807,0.30531107306704913,0.23704317641088002,41470,1.2
FFB12,steady,combined,1280,646.4,65,31,depth,1.2280000448226929,0.27,0.009264903527736663,1.3650000095367432,0.010036604761953187,32760,0.0,0.03923943972193701,0.29991210002883867,0.18664182257061973,1.5471650580548968,2.616081238134328,4.503141812387631,0.0433974239529445,0.3037235564137994,0.23213411196555586,40521,1.3
FFB12,steady_nanblur,combined,1280,646.4,65,31,depth,1.2280000448226929,0.27,0.009026708642482758,1.3630000352859497,0.00976272780895647,32710,0.0,0.039264974732890395,0.3002956516473157,0.1864376191774122,1.5474201233768492,2.572218924760777,4.276209768080332,0.04331022070111994,0.3035396759883833,0.23274408333938768,40624,1.5
FFB12,steady_native,combined,848,432.1,65,31,depth,1.2280000448226929,0.27,0.0053558532738685605,1.3930001258850098,0.012789707936482164,13605,0.0,0.0359161496960512,0.3003131953620458,0.17350857886043494,1.547666829862186,2.570622949695932,4.300542337217714,0.04287809713187841,0.3038154926040679,0.2283770616779705,17818,1.1
FFB17,notebook,combined,1280,647.3,95,95,depth,1.1535000801086426,0.27,0.00512641494846344,1.3480000495910645,0.005577872872259848,21598,0.0,0.02558592786624641,0.30983939148251194,0.12155662458918165,1.5486442766910609,5.184011628129446,4.349592630570745,0.030224533398296158,0.3130340742390523,0.1586690877333897,27989,1.3
FFB17,steady,combined,1280,647.3,95,21,depth,1.3000000715255737,0.2350625991821289,0.006197491128921508,1.3700001239776611,0.006747549445874333,22793,0.0,0.025919781107053286,0.2919591933436009,0.12876238842735807,1.5513850274051308,5.576672185601509,4.261328752735648,0.030644472516685513,0.3081904371099584,0.16109563278571257,27915,1.5
FFB17,steady_nanblur,combined,1280,647.3,95,21,depth,1.2990000247955322,0.1820000410079956,0.006110551202297211,1.3690000772476196,0.006649511248375697,22581,0.0,0.02578355202831106,0.2919626722757915,0.12753083570033497,1.5513109232544777,5.55994514127213,4.2828151892069934,0.030672208474647304,0.30875070613006017,0.1615496166113122,27975,1.1
FFB17,steady_native,combined,848,432.1,95,21,depth,1.2990000247955322,0.23802506923675537,0.00732671693944931,1.5230001211166382,0.019436531633345005,8890,0.0,0.02098066008944748,0.29124001251579645,0.10528138245523598,1.5523449637924587,5.7054661047098305,4.173118572215755,0.02995562166772144,0.30609470623156193,0.15720196185542842,12177,0.9
FFB18,notebook,combined,1280,647.5,77,77,depth,1.2510000467300415,0.27,0.005864857992649078,1.4350000619888306,0.006731529334695842,16371,0.0,0.015651346247282007,0.24060177621293694,0.09256528615481466,1.5493635991339356,4.961373487270103,3.944517681915849,0.01879164846085499,0.2477456141401233,0.1218432914807311,21344,1.4
FFB18,steady,combined,1280,647.5,77,23,depth,1.3470001220703125,0.24614989757537842,0.007439304128170013,1.465000033378601,0.008770104707438227,17061,0.0,0.015559883283171197,0.24105528730865275,0.0961275302199516,1.551074527035162,5.305582465276447,4.043901052510446,0.016915286102448523,0.24459232798852873,0.11229578833114606,19746,1.1
FFB18,steady_nanblur,combined,1280,647.5,77,23,depth,1.3470001220703125,0.24614989757537842,0.0072196888017654415,1.4620000123977661,0.008497557419300637,16930,0.0,0.015494321269589282,0.24109361433670054,0.09546333403873919,1.5510261478174807,5.284355094845113,4.031912988543943,0.016907309913061837,0.24460671650619809,0.11229886717821903,19746,1.4
FFB18,steady_native,combined,848,432.1,77,23,depth,1.3440001010894775,0.2517812252044678,0.0053847454662323,1.5470000505447388,0.015131028243132548,8913,0.0,0.014437180312547301,0.24046136492428946,0.09409153819086838,1.5528571224470804,5.593193899037201,4.10309061477773,0.016665617982140068,0.24453948814513515,0.1106092444031281,8669,1.0
FFB19,notebook,combined,1280,647.7,102,102,depth,1.2970000505447388,0.27,0.008276699234962463,1.3860000371932983,0.00907005330847282,27603,0.0,0.030418186860292098,0.28296477563960576,0.15575857515498198,1.549895800857953,5.672040110459874,4.322761197584172,0.03480204328441333,0.29147673150925746,0.18867861295170557,32954,1.8
FFB19,steady,combined,1280,647.7,102,30,depth,1.315000057220459,0.27,0.008133943220138549,1.3860000371932983,0.008888143215339756,27457,0.0,0.030595859187818226,0.28375884193426354,0.15564313078635514,1.5511162491552697,5.749493740998416,4.142897651609591,0.03657038640135733,0.3009086104865639,0.1972527506225218,34027,1.4
FFB19,steady_nanblur,combined,1280,647.7,102,30,depth,1.3125,0.27,0.008126484220981597,1.3860000371932983,0.008885693379153362,27457,0.0,0.030588889008480377,0.28375884193426354,0.15564313078635514,1.5511162491552697,5.749493740998416,4.142897651609591,0.03630544471371387,0.30010362865148243,0.1960172063881769,33849,1.0
FFB19,steady_native,combined,848,432.1,102,30,depth,1.312000036239624,0.27,0.010068755571842194,1.5390000343322754,0.027288799013048957,12457,0.0,0.02758878192607942,0.28331008556482307,0.14273858198044848,1.5519722018227202,5.800965510358627,4.210443709880484,0.03604418767552336,0.3003158116827044,0.1940798098400353,14922,1.0
FFB31,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.2361750602722168,0.005231971440315246,1.5520000457763672,0.014621949982523592,7842,0.0,0.01447269419109479,0.24624082797095306,0.08035555381778785,1.5569437196648261,4.751039175814867,3.7452792274039357,0.02652221741360025,0.250140253457797,0.16220897937654535,12638,1.2
FFB31,steady,split,848,432.1,120,42,depth,1.319000005722046,0.2390000820159912,0.005242593423366546,1.5520000457763672,0.014655715657165072,8185,0.0,0.014509267055491907,0.24618594480335496,0.08073163968320937,1.5568643611826438,4.759236608864157,3.731474039790165,0.026634848951588578,0.25061443050958104,0.16288395822878968,12671,1.2
FFB31,steady_nanblur,split,848,432.1,120,42,depth,1.3130000829696655,0.27,0.005645960686683655,1.5630000829696655,0.015963497292413194,9616,0.0,0.01455584574213361,0.24553799859645414,0.0814544709397493,1.55667096529312,4.79075403653166,3.81248594234025,0.026460748551797923,0.2503281438425777,0.1625520548578294,12613,1.2
FFB31,steady_native,split,848,432.1,120,42,depth,1.3130000829696655,0.27,0.005645960686683655,1.5630000829696655,0.015963497292413194,9616,0.0,0.01455584574213361,0.24553799859645414,0.0814544709397493,1.55667096529312,4.79075403653166,3.81248594234025,0.026460748551797923,0.2503281438425777,0.1625520548578294,12613,1.3
FFB32,notebook,split,848,432.1,32,32,depth,1.3530000448226929,0.15340006351470947,0.0031429325704574584,1.4850000143051147,0.008570372926874096,7820,0.0,0.014872058563858226,0.21195365352111334,0.1007309430471552,1.5587901293684119,3.4074903497414786,3.782572717849729,0.016724446330400548,0.20650068178249548,0.12308441188001816,9623,1.2
FFB32,steady,split,848,432.1,120,46,depth,1.352000117301941,0.1509000062942505,0.003052931486606598,1.4820001125335693,0.008305332964580359,7767,0.0,0.014841160112914503,0.21200722973729744,0.10005334365592312,1.5588097099237577,3.4087190213935394,3.7641256029942944,0.016717522591767484,0.20648030965607198,0.12303069953382137,9618,1.4
FFB32,steady_nanblur,split,848,432.1,120,46,depth,1.3480000495910645,0.15361249446868896,0.0019583300385475158,1.4520000219345093,0.00519127611476821,6360,0.0,0.012824334928024645,0.21260719940080453,0.08211674719493915,1.558834055861804,3.3790784934208986,3.8204523592187196,0.016672319547002004,0.20642255066825418,0.1228284709897059,9602,1.1
FFB32,steady_native,split,848,432.1,120,46,depth,1.3480000495910645,0.15361249446868896,0.0019583300385475158,1.4520000219345093,0.00519127611476821,6360,0.0,0.012824334928024645,0.21260719940080453,0.08211674719493915,1.558834055861804,3.3790784934208986,3.8204523592187196,0.016672319547002004,0.20642255066825418,0.1228284709897059,9602,1.2
FFB33,notebook,split,848,432.1,32,32,depth,1.3260000944137573,0.2692500352859497,0.005889370485305786,1.5540000200271606,0.016515715660937083,8901,0.0,0.015456345359737812,0.23626696034648376,0.09093037814139736,1.550153527399545,3.2602661401074022,3.6970361738902997,0.02297962455864429,0.23659207188586273,0.1476220563365959,11640,1.3
FFB33,steady,split,848,432.1,120,42,depth,1.3260000944137573,0.2699500322341919,0.00589151048374176,1.5540000200271606,0.016521496949330253,8902,0.0,0.015456638132461592,0.23621818390962687,0.09094961801524662,1.5501210711316356,3.2661808742753244,3.682008828096334,0.0229011997036574,0.236102107443594,0.14731750100748806,11623,1.1
FFB33,steady_nanblur,split,848,432.1,120,42,depth,1.321000099182129,0.1708749532699585,0.0024868291420936583,1.436000108718872,0.006360051976684958,6643,0.0,0.014673172384614627,0.23664430881517212,0.08466351486367292,1.549977667704479,3.2014718871108414,3.390246635984297,0.022943628780794433,0.23685101042147683,0.14785603980087722,11640,1.2
FFB33,steady_native,split,848,432.1,120,42,depth,1.321000099182129,0.1708749532699585,0.0024868291420936583,1.436000108718872,0.006360051976684958,6643,0.0,0.014673172384614627,0.23664430881517212,0.08466351486367292,1.549977667704479,3.2014718871108414,3.390246635984297,0.022943628780794433,0.23685101042147683,0.14785603980087722,11640,1.1
FFB34,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.21672511100769043,0.004809051558494567,1.5230001211166382,0.013162051717862902,7448,0.0,0.0157770512614125,0.25223500496514867,0.09083941360763788,1.5640375013941403,4.878815504994144,3.9605817629646043,0.024606734997098947,0.2527363841821435,0.14875169207250277,11584,1.1
FFB34,steady,split,848,432.1,120,47,depth,1.3170000314712524,0.21867501735687256,0.004811217565059662,1.5230001211166382,0.013168671096088866,7452,0.0,0.015785772310880318,0.25223139881759477,0.09091704634725256,1.5640376320812919,4.884150364531702,3.9327133443351916,0.02461422836538608,0.2526595754986392,0.1489136636597526,11592,1.5
